mos_tot_num_mosquitos,predicted_tot_num_mosquitos
3,6.109293
2,5.7364454
2,5.963533
5,6.1983757
19,8.302341
2,6.9141393
2,5.6228814
1,5.9481363
3,5.89111
3,4.8008103
2,7.04648
5,7.1197886
1,6.0478244
7,5.902334
19,7.888779
9,6.700805
20,7.5795317
1,5.9142365
7,6.1691785
5,6.9399285
23,7.9741673
37,9.052171
1,6.734923
2,6.2127976
4,5.1696754
2,5.650966
4,6.432331
1,6.6760178
51,10.0441475
31,6.848015
2,4.52319
5,4.715401
48,9.502625
213,149.64499
8,5.0224075
1,7.340718
2,6.84444
7,7.50078
1,7.568741
6,7.232116
6,7.3075075
46,12.692296
6,7.5828056
10,8.659249
4,7.4303718
9,8.494103
10,7.8818536
1,8.39687
1,6.7939377
5,7.1354833
1,6.5559998
8,7.623474
9,7.504354
4,5.130004
4,8.281841
1,5.7147307
5,8.222738
6,7.28271
1,7.210269
1,6.699418
1,7.596954
12,8.503133
1,8.046977
5,7.300255
35,10.287916
1,7.1899176
38,10.21661
28,10.053122
1,8.511578
1,6.915776
2,6.851942
1,6.5596733
3,8.420479
4,7.272368
1,7.1372824
1,6.9899693
10,7.743531
27,9.726219
4,6.0032377
21,8.373139
1,7.332515
7,7.354492
7,7.1275973
3,7.5022755
4,7.9162107
14,6.4703026
14,6.383508
2,5.3595505
1,5.281449
25,7.490072
102,45.161545
1,5.281449
3,5.456645
1,5.9840245
7,5.82878
1,6.4024906
1,6.835293
1,5.162259
2,5.255483
4,5.752381
2,5.3045845
1,5.024548
3,3.6757011
1,4.108546
2,6.3705015
3,5.4367123
2,5.9904456
1,5.017054
9,6.8003044
4,6.2991
16,6.496985
7,-0.087456405
1,5.733078
3,5.6237025
4,5.3060007
13,6.6489024
1,5.4378657
3,5.4558196
1,4.3996997
3,5.372996
1,5.701024
21,5.506512
61,13.282516
6,4.3833084
1,4.068455
16,5.0321054
44,8.134346
1,4.0712523
2,5.4674335
3,5.753949
2,6.421743
5,6.0232105
7,5.9430537
1,5.9386916
3,6.110631
3,6.119422
4,7.5023417
1,5.510352
3,5.745918
1,5.756106
1,5.425945
2,5.337977
4,3.0869787
4,3.7956426
1,6.5254936
1,6.037168
3,6.3049097
3,6.5712495
3,6.6616287
4,7.0920944
2,6.5783553
8,7.316864
3,5.6355863
2,6.266104
2,6.0054784
23,7.606367
1,5.711278
10,6.2971034
18,7.9665174
17,6.4124637
2,5.8655243
5,5.963553
5,6.3714614
3,5.806424
2,5.9226303
1,4.175152
1,5.623619
2,5.6421456
3,5.50209
4,6.347442
65,14.752561
11,4.6687765
4,4.157992
28,8.057758
119,53.966957
3,4.031619
2,8.352554
6,9.849794
2,9.610216
33,13.158188
1,9.937492
9,9.664761
2,9.3400135
25,14.40164
49,17.043547
26,12.504557
7,10.9728155
2,11.553112
17,11.365994
26,15.430288
2,8.65536
6,0.3845068
19,12.011751
21,14.664339
1,10.120903
3,6.627321
3,12.398942
18,5.3107347
10,12.627777
15,10.429473
12,11.700547
5,9.791872
5,11.3484535
18,14.000234
4,11.793948
11,13.001875
9,12.538002
29,15.557507
4,11.363492
8,10.330997
38,21.770231
13,10.417858
14,12.717841
17,11.79875
60,19.993887
1,9.849498
4,11.404481
5,10.525705
1,10.297917
68,25.265562
11,11.065723
3,13.689526
295,252.10858
2,9.529821
19,14.942504
15,12.266928
20,11.838214
7,11.645155
5,9.303562
13,11.897864
